INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092ADU","50406","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-08","90.68","82.52","319","298","","","0","SMALL","8024","1982","92","ADU","Y","COSMOS 1408 DEB","1982-092ADU","50406"
"1982-092ADV","50407","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-03-07","87.72","82.44","171","152","","","0","SMALL","8346","1982","92","ADV","Y","COSMOS 1408 DEB","1982-092ADV","50407"
"1982-092ADW","50408","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-09-27","88.50","82.54","206","194","","","0","SMALL","8187","1982","92","ADW","Y","COSMOS 1408 DEB","1982-092ADW","50408"
"1982-092ADX","50409","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-05-11","94.27","82.60","546","420","","","0","SMALL","8410","1982","92","ADX","Y","COSMOS 1408 DEB","1982-092ADX","50409"
"1982-092ADY","50410","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-01","88.78","82.80","224","204","","","0","SMALL","8246","1982","92","ADY","Y","COSMOS 1408 DEB","1982-092ADY","50410"
"1982-092ADZ","50411","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-27","89.01","82.58","232","219","","","0","SMALL","8246","1982","92","ADZ","Y","COSMOS 1408 DEB","1982-092ADZ","50411"
"1982-092AE","49541","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-04-15","88.06","82.77","187","170","","","0","MEDIUM","8392","1982","92","AE","Y","COSMOS 1408 DEB","1982-092AE","49541"
"1982-092AEA","50412","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-30","87.96","82.57","181","166","","","0","SMALL","8045","1982","92","AEA","Y","COSMOS 1408 DEB","1982-092AEA","50412"
"1982-092AEB","50413","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-08-27","87.86","82.49","177","160","","","0","SMALL","8306","1982","92","AEB","Y","COSMOS 1408 DEB","1982-092AEB","50413"
"1982-092AEC","50414","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-13","90.11","82.78","295","264","","","0","SMALL","8246","1982","92","AEC","Y","COSMOS 1408 DEB","1982-092AEC","50414"
"1982-092AED","50415","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-07-17","89.50","82.56","265","235","","","0","SMALL","8122","1982","92","AED","Y","COSMOS 1408 DEB","1982-092AED","50415"
"1982-092AEE","50416","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-05","91.09","82.61","344","312","","","0","SMALL","7967","1982","92","AEE","Y","COSMOS 1408 DEB","1982-092AEE","50416"
"1982-092AEF","50417","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-02-27","88.65","82.50","218","197","","","0","SMALL","8343","1982","92","AEF","Y","COSMOS 1408 DEB","1982-092AEF","50417"
"1982-092AEG","50418","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-09-02","89.08","82.52","235","222","","","0","SMALL","8167","1982","92","AEG","Y","COSMOS 1408 DEB","1982-092AEG","50418"
"1982-092AEH","50419","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2021-12-31","90.39","82.54","307","281","","","0","SMALL","7960","1982","92","AEH","Y","COSMOS 1408 DEB","1982-092AEH","50419"
"1982-092AEJ","50420","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-09-08","88.99","82.44","231","219","","","0","SMALL","8306","1982","92","AEJ","Y","COSMOS 1408 DEB","1982-092AEJ","50420"
"1982-092AEK","50421","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-03-26","89.34","82.47","252","233","","","0","SMALL","8148","1982","92","AEK","Y","COSMOS 1408 DEB","1982-092AEK","50421"
"1982-092AEL","50422","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-07-10","88.17","82.53","194","174","","","0","SMALL","8112","1982","92","AEL","Y","COSMOS 1408 DEB","1982-092AEL","50422"
"1982-092AEM","50423","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-11-01","89.58","82.41","269","238","","","0","SMALL","8222","1982","92","AEM","Y","COSMOS 1408 DEB","1982-092AEM","50423"
"1982-092AEN","50424","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-05-12","90.18","82.43","309","258","","","0","SMALL","8148","1982","92","AEN","Y","COSMOS 1408 DEB","1982-092AEN","50424"
"1982-092AEP","50425","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-03-23","89.75","82.81","272","253","","","0","SMALL","8091","1982","92","AEP","Y","COSMOS 1408 DEB","1982-092AEP","50425"
"1982-092AEQ","50426","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-01-27","88.10","82.53","186","175","","","0","SMALL","8336","1982","92","AEQ","Y","COSMOS 1408 DEB","1982-092AEQ","50426"
